hex	field	classification	score_pct	opening_score_pct	verdict	label	de_preview	mt_en_preview	baynes_en_preview	notes
1	nombre	pair	100%	100%	strong_align	Alineación fuerte	DAS SCHÖPFERISCHE	THE CREATIVE	The Creative	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
2	nombre	pair	25%	25%	moderate_align	Alineación moderada	DAS EMPFANGENDE	THE RECEIVING END	The Receptive	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
3	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE ANFANGSSCHWIERIGKEIT	THE INITIAL DIFFICULTY	Difficulty at the Beginning	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
4	nombre	pair	0%	0%	divergent	Divergente	DIE JUGENDTORHEIT	THE FOOLISHNESS OF YOUTH	Youthful Folly	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
5	nombre	pair	0%	0%	divergent	Divergente	DAS WARTEN (DIE ERNÄHRUNG)	THE WAIT (THE DIET)	Waiting (Nourishment)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
6	nombre	pair	0%	0%	divergent	Divergente	DER STREIT	THE DISPUTE	Conflict	Solapamiento léxico bajo MT↔Baynes (0%).
7	nombre	pair	100%	100%	strong_align	Alineación fuerte	DAS HEER	THE ARMY	The Army	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
8	nombre	pair	25%	25%	moderate_align	Alineación moderada	DAS ZUSAMMENHALTEN	KEEPING IT TOGETHER	Holding Together [Union]	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
9	nombre	pair	60%	60%	strong_align	Alineación fuerte	DES KLEINEN ZÄHMUNGSKRAFT	THE LITTLE TAMING POWER	The Taming Power of the Small	Primera línea alineada (Jaccard 60%). | Solapamiento léxico alto MT↔Baynes (60%).
10	nombre	pair	0%	0%	divergent	Divergente	DAS AUFTRETEN	THE OCCURANCE	Treading [Conduct]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
11	nombre	pair	50%	50%	strong_align	Alineación fuerte	DER FRIEDE	THE PEACE	Peace	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
12	nombre	pair	0%	0%	divergent	Divergente	DIE STOCKUNG	THE STOCK	Standstill [Stagnation]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
13	nombre	pair	20%	20%	weak_align	Alineación débil	GEMEINSCHAFT MIT MENSCHEN	COMMUNITY WITH PEOPLE	Fellowship with Men	Primera línea poco alineada (Jaccard 20%). | Solapamiento léxico moderado MT↔Baynes (20%).
14	nombre	pair	20%	20%	weak_align	Alineación débil	DER BESITZ VON GROSSEM	THE POSSESSION OF GREAT	Posession in Great Measure	Primera línea poco alineada (Jaccard 20%). | Solapamiento léxico moderado MT↔Baynes (20%).
15	nombre	pair	0%	0%	divergent	Divergente	DIE BESCHEIDENHEIT	THE HUMILITY	Modesty	DE mucho más largo que Baynes (18 vs 7 chars) — posible mezcla de comentario Wilhelm en campo oráculo. | Solapamiento léxico bajo MT↔Baynes (0%).
16	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE BEGEISTERUNG	THE ENTHUSIASM	Enthusiasm	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
17	nombre	pair	0%	0%	divergent	Divergente	DIE NACHFOLGE	THE SUCCESSION	Following	Solapamiento léxico bajo MT↔Baynes (0%).
18	nombre	pair	13%	13%	weak_align	Alineación débil	DIE ARBEIT AM VERDORBENEN	WORK ON THE CORRUPTED	Work on What Has Been Spoiled [Decay]	Primera línea poco alineada (Jaccard 13%). | Solapamiento léxico bajo MT↔Baynes (13%).
19	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE ANNÄHERUNG	THE APPROACH	Approach	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
20	nombre	pair	0%	0%	divergent	Divergente	DIE BETRACHTUNG (DER ANBLICK)	THE CONSIDERATION (THE SIGHT)	Contemplation (View)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
21	nombre	pair	25%	25%	moderate_align	Alineación moderada	DAS DURCHBEISSEN	THE BITE THROUGH	Biting Through	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
22	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE ANMUT	THE GRACE	Grace	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
23	nombre	pair	0%	0%	divergent	Divergente	DIE ZERSPLITTERUNG	THE SPLITMENT	Splitting Apart	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
24	nombre	pair	60%	60%	strong_align	Alineación fuerte	DIE WIEDERKEHR (DIE WENDEZEIT)	THE RETURN (THE TURNING TIME)	Return (The Turning Point)	Primera línea alineada (Jaccard 60%). | Solapamiento léxico alto MT↔Baynes (60%).
25	nombre	pair	100%	100%	strong_align	Alineación fuerte	DIE UNSCHULD (DAS UNERWARTETE)	THE INNOCENCE (THE UNEXPECTED)	Innocence (The Unexpected)	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
26	nombre	pair	100%	100%	strong_align	Alineación fuerte	DES GROSSEN ZÄHMUNGSKRAFT	OF THE GREAT TAMING POWER	The Taming Power of the Great	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
27	nombre	pair	75%	75%	strong_align	Alineación fuerte	DIE MUNDWINKEL (DIE ERNÄHRUNG)	THE CORNERS OF THE MOUTH (THE NUTRITION)	The Corners of the Mouth	Primera línea alineada (Jaccard 75%). | Solapamiento léxico alto MT↔Baynes (75%).
28	nombre	pair	25%	25%	moderate_align	Alineación moderada	DES GROSSEN ÜBERGEWICHT	OF GREAT OVERWEIGHT	Preponderance of the Great	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
29	nombre	pair	50%	50%	strong_align	Alineación fuerte	DAS ABGRÜNDIGE, DAS WASSER	THE ABYSS, THE WATER	The Abysmal (Water)	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
30	nombre	pair	50%	50%	strong_align	Alineación fuerte	DAS HAFTENDE, DAS FEUER	THE CLIENT, THE FIRE	The Clinging, Fire	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
31	nombre	pair	0%	0%	divergent	Divergente	DIE EINWIRKUNG (DIE WERBUNG)	THE IMPACT (THE ADVERTISING)	Influence (Wooing)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
32	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE DAUER	THE DURATION	Duration	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
33	nombre	pair	50%	50%	strong_align	Alineación fuerte	DER RÜCKZUG	THE RETREAT	Retreat	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
34	nombre	pair	100%	100%	strong_align	Alineación fuerte	DES GROSSEN MACHT	OF THE GREAT POWER	The Power of the Great	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
35	nombre	pair	100%	100%	strong_align	Alineación fuerte	DER FORTSCHRITT	PROGRESS	Progress	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
36	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE VERFINSTERUNG DES LICHTS	THE DARKNESS OF THE LIGHT	Darkening of the Light	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
37	nombre	pair	25%	25%	moderate_align	Alineación moderada	DIE SIPPE	THE CLINIC	The Family [The Clan]	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
38	nombre	pair	0%	0%	divergent	Divergente	DER GEGENSATZ	THE OPPOSITE	Opposition	Solapamiento léxico bajo MT↔Baynes (0%).
39	nombre	pair	0%	0%	divergent	Divergente	DAS HEMMNIS	THE OBSTACLE	Obstruction	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
40	nombre	pair	0%	0%	divergent	Divergente	DIE BEFREIUNG	THE LIBERATION	Deliverance	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
41	nombre	pair	0%	0%	divergent	Divergente	DIE MINDERUNG	THE REDUCTION	Decrease	Solapamiento léxico bajo MT↔Baynes (0%).
42	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE MEHRUNG	THE INCREASE	Increase	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
43	nombre	pair	0%	0%	divergent	Divergente	DER DURCHBRUCH (DIE ENTSCHLOSSENHEIT)	THE BREAKTHROUGH (THE DETERMINATION)	Break-through (Resoluteness)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
44	nombre	pair	0%	0%	divergent	Divergente	DAS ENTGEGENKOMMEN	THE ACCOMMODATION	Coming to Meet	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
45	nombre	pair	0%	0%	divergent	Divergente	DIE SAMMLUNG	THE COLLECTION	Gathering Together [Massing]	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
46	nombre	pair	0%	0%	divergent	Divergente	DAS EMPORDRINGEN	THE UPRISING	Pushing Upward	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
47	nombre	pair	0%	0%	divergent	Divergente	DIE BEDRÄNGNIS	THE TROUBLE	Oppression (Exhaustion)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
48	nombre	pair	33%	33%	moderate_align	Alineación moderada	DER BRUNNEN	THE FOUNTAIN	The Well	Solapamiento léxico moderado MT↔Baynes (33%).
49	nombre	pair	0%	0%	divergent	Divergente	DIE UMWÄLZUNG (DIE MAUSERUNG)	THE TURNING (THE MOULTURING)	Revolution (Molting)	Primera línea poco alineada (Jaccard 0%). | Solapamiento léxico bajo MT↔Baynes (0%).
50	nombre	pair	33%	33%	moderate_align	Alineación moderada	DER TIEGEL	THE CRUCIAL	The Caldron	Primera línea poco alineada (Jaccard 33%). | Solapamiento léxico moderado MT↔Baynes (33%).
51	nombre	pair	20%	20%	weak_align	Alineación débil	DAS ERREGENDE	THE EXCITING	The Arousing (Shock, Thunder)	Primera línea poco alineada (Jaccard 20%). | Solapamiento léxico moderado MT↔Baynes (20%).
52	nombre	pair	75%	75%	strong_align	Alineación fuerte	DAS STILLEHALTEN, DER BERG	THE KEEPING STILL, THE MOUNTAIN	Keeping Still, Mountain	Primera línea alineada (Jaccard 75%). | Solapamiento léxico alto MT↔Baynes (75%).
53	nombre	pair	25%	25%	moderate_align	Alineación moderada	DIE ENTWICKLUNG	THE DEVELOPMENT	Development (Gradual Progress)	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
54	nombre	pair	50%	50%	strong_align	Alineación fuerte	DAS HEIRATENDE MÄDCHEN	THE MARRYING GIRL	The Marrying Maiden	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
55	nombre	pair	33%	33%	moderate_align	Alineación moderada	DIE FÜLLE	THE FULLNESS	Abundance [Fullness]	Primera línea poco alineada (Jaccard 33%). | Solapamiento léxico moderado MT↔Baynes (33%).
56	nombre	pair	33%	33%	moderate_align	Alineación moderada	DER WANDERER	THE HIKER	The Wanderer	Primera línea poco alineada (Jaccard 33%). | Solapamiento léxico moderado MT↔Baynes (33%).
57	nombre	pair	50%	50%	strong_align	Alineación fuerte	DAS SANFTE	THE GENTLE	The Gentle (Penetrating, Wind)	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
58	nombre	pair	40%	40%	moderate_align	Alineación moderada	DAS HEITERE, DER SEE	THE SERIOUS THING, THE LAKE	The Joyous, Lake	Primera línea alineada (Jaccard 40%). | Solapamiento léxico moderado MT↔Baynes (40%).
59	nombre	pair	33%	33%	moderate_align	Alineación moderada	DIE AUFLÖSUNG	THE DISSOLUTION	Dispersion [Dissolution]	Primera línea poco alineada (Jaccard 33%). | Solapamiento léxico moderado MT↔Baynes (33%).
60	nombre	pair	50%	50%	strong_align	Alineación fuerte	DIE BESCHRÄNKUNG	THE LIMITATION	Limitation	Primera línea alineada (Jaccard 50%). | Solapamiento léxico alto MT↔Baynes (50%).
61	nombre	pair	100%	100%	strong_align	Alineación fuerte	INNERE WAHRHEIT	INNER TRUTH	Inner Truth	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
62	nombre	pair	25%	25%	moderate_align	Alineación moderada	DES KLEINEN ÜBERGEWICHT	OF SMALL OVERWEIGHT	Preponderance of the Small	Primera línea poco alineada (Jaccard 25%). | Solapamiento léxico moderado MT↔Baynes (25%).
63	nombre	pair	100%	100%	strong_align	Alineación fuerte	NACH DER VOLLENDUNG	AFTER COMPLETION	After Completion	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
64	nombre	pair	100%	100%	strong_align	Alineación fuerte	VOR DER VOLLENDUNG	BEFORE COMPLETION	Before Completion	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
1	chinese	pair			mt_failed	MT falló	乾		乾	Traducción automática vacía o no disponible en caché.
2	chinese	pair			mt_failed	MT falló	坤		坤	Traducción automática vacía o no disponible en caché.
3	chinese	pair			mt_failed	MT falló	屯		屯	Traducción automática vacía o no disponible en caché.
4	chinese	pair			mt_failed	MT falló	蒙		蒙	Traducción automática vacía o no disponible en caché.
5	chinese	pair			mt_failed	MT falló	需		需	Traducción automática vacía o no disponible en caché.
6	chinese	pair			mt_failed	MT falló	訟		訟	Traducción automática vacía o no disponible en caché.
7	chinese	pair			mt_failed	MT falló	師		師	Traducción automática vacía o no disponible en caché.
8	chinese	pair			mt_failed	MT falló	比		比	Traducción automática vacía o no disponible en caché.
9	chinese	pair			mt_failed	MT falló	小畜		小畜	Traducción automática vacía o no disponible en caché.
10	chinese	pair			mt_failed	MT falló	履		履	Traducción automática vacía o no disponible en caché.
11	chinese	pair			mt_failed	MT falló	泰		泰	Traducción automática vacía o no disponible en caché.
12	chinese	pair			mt_failed	MT falló	否		否	Traducción automática vacía o no disponible en caché.
13	chinese	pair			mt_failed	MT falló	同人		同人	Traducción automática vacía o no disponible en caché.
14	chinese	pair			mt_failed	MT falló	大有		大有	Traducción automática vacía o no disponible en caché.
15	chinese	pair			mt_failed	MT falló	謙		謙	Traducción automática vacía o no disponible en caché.
16	chinese	pair			mt_failed	MT falló	豫		豫	Traducción automática vacía o no disponible en caché.
17	chinese	pair			mt_failed	MT falló	隨		隨	Traducción automática vacía o no disponible en caché.
18	chinese	pair			mt_failed	MT falló	蠱		蠱	Traducción automática vacía o no disponible en caché.
19	chinese	pair			mt_failed	MT falló	臨		臨	Traducción automática vacía o no disponible en caché.
20	chinese	pair			mt_failed	MT falló	觀		觀	Traducción automática vacía o no disponible en caché.
21	chinese	pair			mt_failed	MT falló	噬嗑		噬嗑	Traducción automática vacía o no disponible en caché.
22	chinese	pair			mt_failed	MT falló	賁		賁	Traducción automática vacía o no disponible en caché.
23	chinese	pair			mt_failed	MT falló	剝		剝	Traducción automática vacía o no disponible en caché.
24	chinese	pair			mt_failed	MT falló	復		復	Traducción automática vacía o no disponible en caché.
25	chinese	pair			mt_failed	MT falló	無妄		無妄	Traducción automática vacía o no disponible en caché.
26	chinese	pair			mt_failed	MT falló	大畜		大畜	Traducción automática vacía o no disponible en caché.
27	chinese	pair			mt_failed	MT falló	頤		頤	Traducción automática vacía o no disponible en caché.
28	chinese	pair			mt_failed	MT falló	大過		大過	Traducción automática vacía o no disponible en caché.
29	chinese	pair			mt_failed	MT falló	坎		坎	Traducción automática vacía o no disponible en caché.
30	chinese	pair			mt_failed	MT falló	離		離	Traducción automática vacía o no disponible en caché.
31	chinese	pair			mt_failed	MT falló	咸		咸	Traducción automática vacía o no disponible en caché.
32	chinese	pair			mt_failed	MT falló	恆		恆	Traducción automática vacía o no disponible en caché.
33	chinese	pair			mt_failed	MT falló	遯		遯	Traducción automática vacía o no disponible en caché.
34	chinese	pair			mt_failed	MT falló	大壯		大壯	Traducción automática vacía o no disponible en caché.
35	chinese	pair			mt_failed	MT falló	晉		晉	Traducción automática vacía o no disponible en caché.
36	chinese	pair			mt_failed	MT falló	明夷		明夷	Traducción automática vacía o no disponible en caché.
37	chinese	pair			mt_failed	MT falló	家人		家人	Traducción automática vacía o no disponible en caché.
38	chinese	pair			mt_failed	MT falló	睽		睽	Traducción automática vacía o no disponible en caché.
39	chinese	pair			mt_failed	MT falló	蹇		蹇	Traducción automática vacía o no disponible en caché.
40	chinese	pair			mt_failed	MT falló	解		解	Traducción automática vacía o no disponible en caché.
41	chinese	pair			mt_failed	MT falló	損		損	Traducción automática vacía o no disponible en caché.
42	chinese	pair			mt_failed	MT falló	益		益	Traducción automática vacía o no disponible en caché.
43	chinese	pair			mt_failed	MT falló	夬		夬	Traducción automática vacía o no disponible en caché.
44	chinese	pair			mt_failed	MT falló	姤		姤	Traducción automática vacía o no disponible en caché.
45	chinese	pair			mt_failed	MT falló	萃		萃	Traducción automática vacía o no disponible en caché.
46	chinese	pair			mt_failed	MT falló	升		升	Traducción automática vacía o no disponible en caché.
47	chinese	pair			mt_failed	MT falló	困		困	Traducción automática vacía o no disponible en caché.
48	chinese	pair			mt_failed	MT falló	井		井	Traducción automática vacía o no disponible en caché.
49	chinese	pair			mt_failed	MT falló	革		革	Traducción automática vacía o no disponible en caché.
50	chinese	pair			mt_failed	MT falló	鼎		鼎	Traducción automática vacía o no disponible en caché.
51	chinese	pair			mt_failed	MT falló	震		震	Traducción automática vacía o no disponible en caché.
52	chinese	pair			mt_failed	MT falló	艮		艮	Traducción automática vacía o no disponible en caché.
53	chinese	pair			mt_failed	MT falló	漸		漸	Traducción automática vacía o no disponible en caché.
54	chinese	pair			mt_failed	MT falló	歸妹		歸妹	Traducción automática vacía o no disponible en caché.
55	chinese	pair			mt_failed	MT falló	豐		豐	Traducción automática vacía o no disponible en caché.
56	chinese	pair			mt_failed	MT falló	旅		旅	Traducción automática vacía o no disponible en caché.
57	chinese	pair			mt_failed	MT falló	巽		巽	Traducción automática vacía o no disponible en caché.
58	chinese	pair			mt_failed	MT falló	兌		兌	Traducción automática vacía o no disponible en caché.
59	chinese	pair			mt_failed	MT falló	渙		渙	Traducción automática vacía o no disponible en caché.
60	chinese	pair			mt_failed	MT falló	節		節	Traducción automática vacía o no disponible en caché.
61	chinese	pair			mt_failed	MT falló	中孚		中孚	Traducción automática vacía o no disponible en caché.
62	chinese	pair			mt_failed	MT falló	小過		小過	Traducción automática vacía o no disponible en caché.
63	chinese	pair			mt_failed	MT falló	既濟		既濟	Traducción automática vacía o no disponible en caché.
64	chinese	pair			mt_failed	MT falló	未濟		未濟	Traducción automática vacía o no disponible en caché.
1	chinese_roman	pair	0%	0%	divergent	Divergente	Kiën	Kiën	Ch'ien	Solapamiento léxico bajo MT↔Baynes (0%).
2	chinese_roman	pair	0%	0%	divergent	Divergente	Kun	Kun	K'un	Solapamiento léxico bajo MT↔Baynes (0%).
3	chinese_roman	pair	0%	0%	divergent	Divergente	Dschun	Jun	Chun	Solapamiento léxico bajo MT↔Baynes (0%).
4	chinese_roman	pair	0%	0%	divergent	Divergente	Mong	Mong	Mêng	Solapamiento léxico bajo MT↔Baynes (0%).
5	chinese_roman	pair	0%	0%	divergent	Divergente	Sü	Su	Hsü	Solapamiento léxico bajo MT↔Baynes (0%).
6	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Sung	Sung	Sung	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
7	chinese_roman	pair	0%	0%	divergent	Divergente	Schï	Ski	Shih	Solapamiento léxico bajo MT↔Baynes (0%).
8	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Bi	Bi	Pi	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
9	chinese_roman	pair	0%	0%	divergent	Divergente	Siau Tschu	Siau choo	Hsiao Ch'u	Solapamiento léxico bajo MT↔Baynes (0%).
10	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Lü	Lu	Lü	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
11	chinese_roman	pair	0%	0%	divergent	Divergente	Tai	Tai	T'ai	Solapamiento léxico bajo MT↔Baynes (0%).
12	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Pi	pi	P'i	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
13	chinese_roman	pair	33%	33%	moderate_align	Alineación moderada	Tung Jen	Tung Jen	T'ung Jên	Solapamiento léxico moderado MT↔Baynes (33%).
14	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Da Yu	Da Yu	Ta Yu	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
15	chinese_roman	pair	0%	0%	divergent	Divergente	Kiën	Kiën	Ch'ien	Solapamiento léxico bajo MT↔Baynes (0%).
16	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Yü	Yu	Yü	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
17	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Sui	Sui	Sui	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
18	chinese_roman	pair	100%	100%	strong_align	Alineación fuerte	Gu	Gu	Ku	Primera línea alineada (Jaccard 100%). | Solapamiento léxico alto MT↔Baynes (100%).
