section	hex	field	classification	de_preview	baynes_preview
ten_wings	2	line:2_ten_wings	translation_pair	Die Bewegung der Sechs auf zweitem Platz 2 ist gerade und dadurch rechtwinklig. ,,Ohne Absicht bleibt nichts ungefördert…	The symbol of heaven is the circle, and that of earth is the square. Thus squareness is a primary quality of the earth. …
ten_wings	2	line:3_ten_wings	translation_pair	,,Verborgene Linien; man vermag beharrlich zu bleiben."" Man muß zur Zeit sie leuchten lassen. ,,Folgst du etwa eines Kön…	If a man is free of vanity he is able to conceal his abilities and keep them from attracting attention too soon; thus he…
ten_wings	2	line:4_ten_wings	translation_pair	,,Zugebundener Sack. Kein Makel."" Durch Vorsicht bleibt man frei von Schaden. Es ist hier eine Yin-Linie auf Yin-Platz, …	The dark element opens when it moves and closes when at rest. The strictest reticence is indicated here. The time is dan…
ten_wings	2	line:5_ten_wings	translation_pair	,,Gelbes Untergewand bringt erhabenes Heil."" Die Schönheit ist inwendig. Die Sechs auf fünftem Platz hat eine ähnliche S…	Yellow is the color of the earth and of the middle; it is the symbol of that which is reliable and genuine. The lower ga…
ten_wings	2	line:6_ten_wings	translation_pair	""Drachen kämpfen auf dem Anger."" Der Weg geht zu Ende. 2 Das Buch der Wandlungen II Die obere Sechs sucht sich festzuhal…	In the top place the dark element should yield to the light. If it attempts to maintain a position to which it is not en…
ten_wings	2	wen_yen	de_only	Im Unterschied zum Zeichen des Schöpferischen hat das Zeichen ""das Emp- fangende"" nur einen einzigen Kommentar. Zum ganz…	
oracle	3	intro	translation_pair	3. DSCHUN / DIE ANFANGSSCHWIERIGKEIT oben Kan, das Abgründige, das Wasser unten Dschen, das Erregende, der Donner er Nam…	The name of the hexagram, Chun, really connotes a blade of grass pushing against an obstacle as it sprouts out of the ea…
oracle	3	judgment	translation_pair	Die Anfangsschwierigkeit wirkt erhabenes Gelingen. Fördernd durch Beharrlichkeit. Man soll nichts unternehmen. Fördernd …	Difficulty at the Beginning works supreme success, Furthering through perseverance. Nothing should be undertaken. It fur…
oracle	3	image	translation_pair	Wolken und Donner: das Bild der Anfangsschwierigkeit. So wirkt der Edle entwirrend und ordnend. Wolken und Donner werden…	Clouds and thunder: The image of Difficulty at the Beginning. Thus the superior man Brings order out of confusion.
oracle	3	line:1	translation_pair	Zögern und Hemmung. Fördernd ist es, beharrlich zu bleiben. Fördernd ist es, Gehilfen einzusetzen. Wais went die Fülle S…	Hesitation and hindrance. It furthers one to remain persevering. It furthers one to appoint helpers.
oracle	3	line:2	translation_pair	Schwierigkeiten türmen sich. Pferd und Wagen trennen sich. Nicht Räuber er ist, Will freien zur Frist. Das Mädchen ist k…	Difficulties pile up. Horse and wagon part. He is not a robber; He wants to woo when the time comes. The maiden is chast…
oracle	3	line:3	translation_pair	Wer den Hirsch jagt ohne Förster, Der verirrt sich nur im Wald. Der Edle versteht die Zeichen der Zeit Und steht lieber …	Whoever hunts deer without the forester Only loses his way in the forest. The superior man understands the signs of the …
oracle	3	line:4	translation_pair	Pferd und Wagen trennen sich. Suche nach Vereinigung. Hingehen bringt Heil. Alles wirkt fördernd. Man ist in einer Lage,…	Horse and wagon part. Strive for union. To go brings good fortune. Everything acts to further.
oracle	3	line:5	translation_pair	Schwierigkeiten im Segnen. Kleine Beharrlichkeit bringt Heil, Große Beharrlichkeit bringt Unheil. Man findet sich in der…	Difficulties in blessing. A little perseverance brings good fortune. Great perseverance brings misfortune.
oracle	3	line:6	translation_pair	Pferd und Wagen trennen sich. Blutige Tränen ergießen sich. Es gibt Menschen, denen werden die Anfangsschwierigkeiten zu…	Horse and wagon part. Bloody tears flow.
ten_wings	3	judgment_ten_wings	translation_pair	Die Anfangsschwierigkeit: Das Feste und Weiche vereinigen sich zum erstenmal, und die Geburt ist schwer. Das untere Zeic…	Times of growth are beset with difficulties. They resemble a first birth. But these difficulties arise from the very pro…
ten_wings	3	image_ten_wings	translation_pair	Wolken und Donner: Das Bild der Anfangsschwierigkeit. So wirkt der Edle entwirrend und ordnend. Während im Kommentar zur…	Clouds and thunder are represented by definite decorative lines; this means that in the chaos of difficulty at the begin…
ten_wings	3	line:1_ten_wings	translation_pair	Obwohl noch Zögern und Hemmung herrscht, geht die Arbeit doch auf Ausführung des Rechten.-Wer als Vornehmer sich unter d…	If a person encounters a hindrance at the beginning of an enterprise, he must not try to force advance but must pause an…
ten_wings	3	line:2_ten_wings	translation_pair	Die Schwierigkeit der Sechs auf zweitem Platz ist, daß sie über einem harten Strich steht. Daß sie nach zehn Jahren sich…	We find ourselves beset by difficulties and hindrances. Suddenly there is a turn of affairs, as if someone were coming u…
ten_wings	3	line:3_ten_wings	translation_pair	""Er jagt den Hirsch ohne Förster"", d. h. er begehrt das Wild. ,,Der Edle versteht die Zeichen der Zeit und steht lieber …	If a man tries to hunt in a strange forest and has no guide, he loses his way. When he finds himself in difficulties he …
ten_wings	3	line:4_ten_wings	translation_pair	Wenn man gebeten wird und darauf erst hingeht, das ist Klarheit, Der Strich steht in der Beziehung der Entsprechung zur …	We are in a situation in which it is our duty to act, but we lack sufficient power. However, an opportunity to make conn…
ten_wings	3	line:5_ten_wings	translation_pair	Schwierigkeiten im Segnen""; denn die Wohltat wird noch nicht erkannt. Der Strich ist zwar der eine Herr des Zeichens, un…	An individual is in a position in which he cannot so express his good intentions that they will actually take shape and …
ten_wings	3	line:6_ten_wings	translation_pair	Blutige Tränen ergießen sich."" Wie dürfte man dabei lange verweilen! Der Strich hat ebenso wie die Striche zwei und vier…	The difficulties at the beginning are too great for some persons. They get stuck and never find their way out; they fold…
ten_wings	3	sequence	de_only	Nachdem Himmel und Erde vorhanden sind, entstehen die einzelnen Wesen. Was den Raum zwischen Himmel und Erde Anfangs erf…	
oracle	4	intro	translation_pair	​4. MONG / DIE JUGENDTORHEIT oben Gen, das Stillehalten, der Berg unten Kan, das Abgründige, das Wasser uf doppelte Weis…	In this hexagram we are reminded of youth and folly in two different ways. The image of the upper trigram, Kên, is the m…
oracle	4	judgment	translation_pair	Jugendtorheit hat Gelingen. Nicht ich suche den jungen Toren, der junge Tor sucht mich. Beim ersten Orakel gebe ich Ausk…	YOUTHFUL FOLLY has success. It is not I who seek the young fool; The young fool seeks me. At the first oracle I inform h…
oracle	4	image	translation_pair	Unten am Berg kommt ein Quell hervor, das Bild der Jugend. So nährt der Edle durch gründliches Handeln seinen Charakter.…	A spring wells up at the foot of the mountain: The image Of YOUTH. Thus the superior man fosters his character By thorou…
oracle	4	line:1	translation_pair	Um den Toren zu entwickeln, Ist es fördernd, den Menschen in Zucht zu nehmen. Man soll die Fesseln abnehmen. So weiterma…	To make a fool develop It furthers one to apply discipline. The fetters should be removed. To go on in this way brings h…
oracle	4	line:2	translation_pair	Die Toren ertragen in Milde, bringt Heil! Die Frauen zu nehmen wissen, bringt Heil! Der Sohn ist dem Hauswesen gewachsen…	To bear with fools in kindliness brings good fortune. To know how to take women Brings good fortune. The son is capable …
oracle	4	line:3	translation_pair	Nicht sollst du ein Mädchen nehmen, Das einen ehernen Mann sieht Und sich nicht im Besitz behält. Nichts ist fördernd. E…	Take not a maiden who, when she sees a man of bronze, Loses possession of herself. Nothing furthers.
oracle	4	line:4	translation_pair	Beschränkte Torheit bringt Beschämung. Für die Jugendtorheit ist es das Hoffnungsloseste, sich in leere Einbildungen zu …	Entangled folly brings humiliation.
oracle	4	line:5	translation_pair	Kindliche Torheit bringt Heil. Ein unerfahrener Mensch, der kindlich und anspruchslos Belehrung sucht, ist gut daran. De…	Childlike folly brings good fortune.
oracle	4	line:6	translation_pair	Beim Bestrafen der Torheit ist es nicht fördernd, Übergriffe zu begehen. Fördernd ist nur, Übergriffe abzuwehren. Unter …	In punishing folly It does not further one To commit transgressions. The only thing that furthers Is to prevent transgre…
ten_wings	4	judgment_ten_wings	translation_pair	Die Jugendtorheit zeigt unterhalb eines Berges eine Gefahr. Gefahr und Stillstand: das ist Torheit. Das Bild des Zeichen…	In the time of youth, folly is not an evil. One may succeed in spite of it, provided one finds an experienced teacher an…
ten_wings	4	image_ten_wings	translation_pair	Unten am Berg kommt ein Quell hervor: das Bild der Jugend. So nährt der Edle durch gründliches Handeln seinen Charakter.…	A spring succeeds in flowing on and escapes stagnation by filling up all the hollow places in its path. In the same way …
ten_wings	4	line:1_ten_wings	translation_pair	Fördernd ist es, den Menschen in Zucht zu nehmen"": Nämlich um dem Gesetz Nachdruck zu verleihen. Der weiche Strich an un…	Law is the beginning of education. Youth in its inexperience is inclined at first to take everything carelessly and play…
ten_wings	4	line:2_ten_wings	translation_pair	Der Sohn ist dem Hauswesen gewachsen"", denn fest und weich stehen in Verbindung. Die weiche Fünf steht zu der festen Zwe…	These lines picture a man who has no external power, but who has enough strength of mind to bear his burden of responsib…
ten_wings	4	line:3_ten_wings	translation_pair	Man soll das Mädchen nicht nehmen, denn ihr Wandel folgt nicht der Ordnung. Der Strich ist weich und steht auf starkem P…	A weak, inexperienced man, struggling to rise, easily loses his own individuality when he slavishly imitates a strong pe…
ten_wings	4	line:4_ten_wings	translation_pair	Die Beschämung der beschränkten Jugendtorheit kommt da- her, daß sie allein vom Wirklichen am entferntesten ist. Ein wei…	For youthful folly it is the most hopeless thing to entangle itself in empty imaginings. The more obstinately it clings …
ten_wings	4	line:5_ten_wings	translation_pair	Das Heil des kindlichen Toren kommt davon, daß er hinge- bend und sanft ist. Der fünfte Platz ist der Platz des Herrsche…	An inexperienced person who seeks instruction in a childlike and unassuming way is on the right path, for the man devoid…
ten_wings	4	line:6_ten_wings	translation_pair	Fördernd ist es, Übergriffe abzuwehren"", denn damit folgen Obere und Untere der Ordnung. Der starke Strich ist in Bezieh…	Sometimes an incorrigible fool must be punished. He who will not heed will be made to feel. This punishment is quite dif…
ten_wings	4	sequence	de_only	Nachdem unter Anfangsschwierigkeiten die Dinge erst ge- boren sind, sind sie bei ihrer Geburt stets in Dumpfheit ge- hül…	
oracle	5	intro	translation_pair	5. SU / DAS WARTEN oben das Abgründige, das Wasser unten das Schöpferische, der Himmel Alle lle Wesen bedürfen der Nahru…	All beings have need of nourishment from above. But the gift of food comes in its own time, and for this one must wait. …
oracle	5	judgment	translation_pair	Das Warten. Wenn du wahrhaftig bist, so hast du Licht und Gelingen. Beharrlichkeit bringt Heil. Fördernd ist es, das gro…	WAITING. If you are sincere, You have light and success. Perseverance brings good fortune. It furthers one to cross the …
oracle	5	image	translation_pair	Wolken steigen am Himmel auf: das Bild des Wartens. So ißt und trinkt der Edle und ist heiter und guter Dinge. Wenn die …	Clouds rise up to heaven: The image of WAITING. Thus the superior man eats and drinks, Is joyous and of good cheer.
oracle	5	line:1	translation_pair	Warten auf dem Anger. Fördernd ist es, im Dauernden zu bleiben. Kein Makel. Die Gefahr ist noch fern. Man wartet noch au…	Waiting in the meadow. It furthers one to abide in what endures. No blame.
oracle	5	line:2	translation_pair	Warten auf dem Sand. Es gibt ein wenig Gerede. Das Ende bringt Heil. Die Gefahr rückt allmählich näher. Der Sand ist dem…	Waiting on the sand. There is some gossip. The end brings good fortune.
oracle	5	line:3	translation_pair	Warten im Schlamm Bewirkt das Kommen des Feindes. Der Schlamm, der schon vom Wasser des Stromes bespült wird, ist kein g…	Waiting in the mud Brings about the arrival of the enemy.
oracle	5	line:4	translation_pair	Warten im Blut. Heraus aus dem Loch. Es ist die Lage äußerst gefährlich. Es ist voller Ernst geworden und geht auf Leben…	Waiting in blood. Get out of the pit.
oracle	5	line:5	translation_pair	Warten bei Wein und Speise. Beharrlichkeit bringt Heil. Auch mitten in der Gefahr gibt es Ruhepausen, da es einem verhäl…	Waiting at meat and drink. Perseverance brings good fortune.
oracle	5	line:6	translation_pair	Man gerät in das Loch. Da kommen ungebetener Gäste drei; Ehre sie, so kommt am Ende Heil. Das Warten ist vorüber: die Ge…	One falls into the pit. Three uninvited guests arrive. Honor them, and in the end there will be good fortune.
ten_wings	5	judgment_ten_wings	translation_pair	Warten heißt sich zurückhalten. Gefahr ist vorn. Da man fest und stark ist, fällt man nicht hinein. Der Sinn ist, daß ma…	Waiting is not mere empty hoping. It has the inner certainty of reaching the goal. Such certainty alone gives that light…
ten_wings	5	image_ten_wings	translation_pair	Wolken steigen am Himmel auf: Das Bild des Wartens. So ißt und trinkt der Edle und ist heiter und guter Dinge. Das Wasse…	When clouds rise in the sky, it is a sign that it will rain. There is nothing to do but to wait until the rain falls. It…
ten_wings	5	line:1_ten_wings	translation_pair	Die Sache nicht verewigen."" Den Streit darf man nicht verlängern. ,,Obwohl es ein kleines Gerede gibt"", wird die Sache e…	The danger is not yet close. One is still waiting on the open plain. Conditions are still simple, yet there is a feeling…
ten_wings	5	line:2_ten_wings	translation_pair	Man kann nicht streiten, kehrt heim und weicht aus."" So entkommt man. Von unten zu streiten mit einem Oberen bringt selb…	The danger gradually comes closer. Sand is near the bank of the river, and the water means danger. Disagreements crop up…
ten_wings	5	line:3_ten_wings	translation_pair	Von alter Tugend sich nähren."" Dem Oberen folgen bringt Heil. Der Strich ist schwach, nicht korrekt, weil auf starkem Pl…	Mud is no place for waiting, since it is already being washed by the water of the stream. Instead of having gathered str…
ten_wings	5	line:4_ten_wings	translation_pair	Man kehrt um und fügt sich dem Geschick, ändert sich und findet Frieden in Beharrlichkeit."" Damit ist nichts verloren. D…	The situation is extremely dangerous. It is of utmost gravity now—a matter of life and death. Bloodshed seems imminent. …
ten_wings	5	line:5_ten_wings	translation_pair	Streiten vor ihm bringt erhabenes Heil"", weil er zentral und korrekt ist. Hier ist der Herr des Zeichens, der auf geehrt…	Even in the midst of danger there come intervals of peace when things go relatively well. If we possess enough inner str…
ten_wings	5	line:6_ten_wings	translation_pair	Ungebetene Gäste kommen. Ehrt man sie, so kommt am Ende Heil."" Obwohl nicht am gebührenden Platz, ist wenigstens kein gr…	The waiting is over; the danger can no longer be averted. One falls into the pit and must yield to the inevitable. Every…
ten_wings	5	sequence	de_only	Wenn die Dinge noch klein sind, darf man sie nicht ohne Er- nährung lassen. Darum folgt darauf das Zeichen Sü. Sü be- de…	
oracle	6	intro	translation_pair	6. SUNG / DER STREIT oben Kiän, das Schöpferische, der Himmel unten Kan, das Abgründige, das Wasser Das as obere Urzeich…	The upper trigram, whose image is heaven, has an upward movement; the lower trigram, water, in accordance with its natur…
oracle	6	judgment	translation_pair	Der Streit: Du bist wahrhaftig und wirst gehemmt. Sorgliches Innehalten auf halbem Weg bringt Heil. Zu Ende führen bring…	CONFLICT. You are sincere And are being obstructed. A cautious halt halfway brings good fortune. Going through to the en…
oracle	6	image	translation_pair	Himmel und Wasser gehen einander entgegengesetzt: Das Bild des Streites. So überlegt der Edle bei allen Geschäften, die …	Heaven and water go their opposite ways: The image of CONFLICT. Thus in all his transactions the superior man Carefully …
oracle	6	line:1	translation_pair	Wenn man die Sache nicht verewigt, So gibt es ein kleines Gerede. Am Ende kommt Heil. Solange der Streit noch im ersten …	If one does not perpetuate the affair, There is a little gossip. In the end, good fortune comes.
oracle	6	line:2	translation_pair	Man kann nicht streiten, kehrt heim und weicht aus. Die Menschen seiner Stadt, dreihundert Häuser, Bleiben frei von Schu…	One cannot engage in conflict; One returns home, gives way. The people of his town, Three hundred households, Remain fre…
oracle	6	line:3	translation_pair	Von alter Tugend sich nähren gibt Beharrlichkeit. Gefahr, am Ende kommt Heil. Folgst du etwa eines Königs Diensten, So s…	To nourish oneself on ancient virtue induces perseverance. Danger. In the end, good fortune comes. If by chance you are …
oracle	6	line:4	translation_pair	Man kann nicht streiten, Kehrt um und fügt sich dem Geschick, Andert sich und findet Frieden in Beharrlichkeit. Heil! ~;…	One cannot engage in conflict. One turns back and submits to fate, Changes one's attitude, And finds peace in perseveran…
oracle	6	line:5	translation_pair	Streiten vor ihm bringt erhabenes Heil! Es ist hier der Schlichter des Streits gezeigt, der machtvoll und gerecht ist, u…	To contend before him Brings supreme good fortune.
oracle	6	line:6	translation_pair	Wenn einem etwa auch ein Ledergürtel verliehen wird, Am Ende eines Morgens wird er ihm dreimal entrissen. Hier ist jeman…	Even if by chance a leather belt is bestowed on one, By the end of a morning It will have been snatched away three times…
ten_wings	6	judgment_ten_wings	translation_pair	Der Streit: Oben ist Stärke, unten Gefahr. Gefahr und Stärke gibt Streit. ,,Der Streitende ist wahrhaftig und wird gehem…	Conflict develops when one feels himself to be in the right and runs into opposition. If one is not convinced of being i…
ten_wings	6	image_ten_wings	translation_pair	Himmel und Wasser gehen einander entgegengesetzt: das Bild des Streites. So überlegt der Edle bei allen Geschäften, die …	The image indicates that the causes of conflict are latent in the opposing tendencies of the two trigrams. Once these op…
ten_wings	6	line:1_ten_wings	translation_pair	Die Sache nicht verewigen."" Den Streit darf man nicht verlängern. ,,Obwohl es ein kleines Gerede gibt"", wird die Sache e…	While a conflict is in the incipient stage, the best thing to do is to drop the issue. Especially when the adversary is …
ten_wings	6	line:2_ten_wings	translation_pair	Man kann nicht streiten, kehrt heim und weicht aus."" So entkommt man. Von unten zu streiten mit einem Oberen bringt selb…	In a struggle with an enemy of superior strength, retreat is no disgrace. Timely withdrawal prevents bad consequences. I…
ten_wings	6	line:3_ten_wings	translation_pair	Von alter Tugend sich nähren."" Dem Oberen folgen bringt Heil. Der Strich ist schwach, nicht korrekt, weil auf starkem Pl…	This is a warning of the danger that goes with an expansive disposition. Only that which has been honestly acquired thro…
ten_wings	6	line:4_ten_wings	translation_pair	Man kehrt um und fügt sich dem Geschick, ändert sich und findet Frieden in Beharrlichkeit."" Damit ist nichts verloren. D…	This refers to a person whose inner attitude at first lacks peace. He does not feel content with his situation and would…
ten_wings	6	line:5_ten_wings	translation_pair	Streiten vor ihm bringt erhabenes Heil"", weil er zentral und korrekt ist. Hier ist der Herr des Zeichens, der auf geehrt…	This refers to an arbiter in a conflict who is powerful and just, and strong enough to lend weight to the right side. A …
ten_wings	6	line:6_ten_wings	translation_pair	Durch Streit Auszeichnung zu erlangen, ist dennoch nichts Verehrenswertes. Ein starker Strich auf der Höhe des Streits s…	Here we have someone who has carried a conflict to the bitter end and has triumphed. He is granted a decoration, but his…
ten_wings	6	sequence	de_only	Über Speise und Trank kommt es sicher zum Streit. Darum folgt darauf das Zeichen Streit.	
oracle	7	intro	translation_pair	7. SCHI / DAS HEER oben Kun, das Empfangende, die Erde unten Kan, das Abgründige, das Wasser as Zeichen setzt sich zusam…	This hexagram is made up of the trigrams K'an, water, and K'un, earth, and thus it symbolizes the ground water stored up…
oracle	7	judgment	translation_pair	Das Heer braucht Beharrlichkeit und einen starken Mann. Heil ohne Makel. Ein Heer ist eine Masse, die, um ein Heer zu we…	THE ARMY. The army needs perseverance And a strong man. Good fortune without blame.
oracle	7	image	translation_pair	Inmitten der Erde ist Wasser, das Bild des Heeres. So mehrt der Edle durch Weitherzigkeit gegen Das Volk seine Massen. D…	In the middle of the earth is water: The image of THE ARMY. Thus the superior man increases his masses By generosity tow…
oracle	7	line:1	translation_pair	Ein Heer muß ausziehen nach der Ordnung. Ist die nicht gut, droht Unheil. Zu Beginn einer kriegerischen Unternehmung muß…	An army must set forth in proper order. If the order is not good, misfortune threatens.
oracle	7	line:2	translation_pair	Inmitten des Heeres! Heil! Kein Makel! Der König verleiht dreifache Auszeichnung. Der Führer muß inmitten seines Heeres …	In the midst of the army. Good fortune. No blame. The king bestows a triple decoration.
oracle	7	line:3	translation_pair	Das Heer führt etwa im Wagen Leichen. Unheil! Die eine Erklärung deutet auf eine Niederlage infolge davon, daß ein an- d…	Perchance the army carries corpses in the wagon. Misfortune.
oracle	7	line:4	translation_pair	= Das Heer zieht sich zurück. Kein Makel. Wenn man einem überlegenen Feind gegenübersteht, mit dem der Kampf aussichtslo…	The army retreats. No blame.
oracle	7	line:5	translation_pair	Im Feld ist ein Wild. Es ist fördernd, es zu fangen. Ohne Makel. Der Alteste führe das Heer. Der Jüngere fährt Leichen, …	There is game in the field. It furthers one to catch it. Without blame. Let the eldest lead the army. The younger transp…
oracle	7	line:6	translation_pair	Der große Fürst erläßt Befehle, Gründet Staaten, belehnt Familien. Gemeine Menschen soll man nicht benützen. Der Krieg i…	The great prince issues commands, Founds states, vests families with fiefs. Inferior people should not be employed.
ten_wings	7	judgment_ten_wings	translation_pair	Das Heer bedeutet die Masse. Beharrlichkeit bedeutet Zucht. Wer durch die Massen Zucht bewirken kann, der mag die Welthe…	An army is a mass that needs organization in order to become a fighting force. Without strict discipline nothing can be …
ten_wings	7	image_ten_wings	translation_pair	Inmitten der Erde ist Wasser: Das Bild des Heeres. So mehrt der Edle durch Weitherzigkeit gegen das Volk seine Massen. D…	Ground water is invisibly present within the earth. In the same way the military power of a people is invisibly present …
